id,content,metadata,embedding
20.02,"Serviços aeroportuários, utilização de aeroporto, movimentação de passageiros, armazenagem de qualquer natureza, capatazia, movimentação de aeronaves, serviços de apoio aeroportuários, serviços acessórios, movimentação de mercadorias, logística e congêneres.","{""codigo_item"":""20.02"",""fonte_legal"":""Lei Complementar 116/2003""}",
20.03,"Serviços de terminais rodoviários, ferroviários, metroviários, movimentação de passageiros, mercadorias, inclusive suas operações, logística e congêneres.","{""codigo_item"":""20.03"",""fonte_legal"":""Lei Complementar 116/2003""}",
21,"Serviços de registros públicos, cartorários e notariais.","{""codigo_item"":""21"",""fonte_legal"":""Lei Complementar 116/2003""}",
21.01,"Serviços de registros públicos, cartorários e notariais.","{""codigo_item"":""21.01"",""fonte_legal"":""Lei Complementar 116/2003""}",
22,Serviços de exploração de rodovia.,"{""codigo_item"":""22"",""fonte_legal"":""Lei Complementar 116/2003""}",
22.01,"Serviços de exploração de rodovia mediante cobrança de preço ou pedágio dos usuários, envolvendo execução de serviços de conservação, manutenção, melhoramentos para adequação de capacidade e segurança de trânsito, operação, monitoração, assistência aos usuários e outros serviços definidos em contratos, atos de concessão ou de permissão ou em normas oficiais.","{""codigo_item"":""22.01"",""fonte_legal"":""Lei Complementar 116/2003""}",
23,"Serviços de programação e comunicação visual, desenho industrial e congêneres.","{""codigo_item"":""23"",""fonte_legal"":""Lei Complementar 116/2003""}",
23.01,"Serviços de programação e comunicação visual, desenho industrial e congêneres.","{""codigo_item"":""23.01"",""fonte_legal"":""Lei Complementar 116/2003""}",
24,"Serviços de chaveiros, confecção de carimbos, placas, sinalização visual, banners, adesivos e congêneres.","{""codigo_item"":""24"",""fonte_legal"":""Lei Complementar 116/2003""}",
24.01,"Serviços de chaveiros, confecção de carimbos, placas, sinalização visual, banners, adesivos e congêneres.","{""codigo_item"":""24.01"",""fonte_legal"":""Lei Complementar 116/2003""}",
25,Serviços funerários.,"{""codigo_item"":""25"",""fonte_legal"":""Lei Complementar 116/2003""}",
25.01,"Funerais, inclusive fornecimento de caixão, urna ou esquifes; aluguel de capela; transporte do corpo cadavérico; fornecimento de flores, coroas e outros paramentos; desembaraço de certidão de óbito; fornecimento de véu,","{""codigo_item"":""25.01"",""fonte_legal"":""Lei Complementar 116/2003""}",
25.02,Cremação de corpos e partes de corpos cadavéricos.,"{""codigo_item"":""25.02"",""fonte_legal"":""Lei Complementar 116/2003""}",
25.03,Planos ou convênio funerários.,"{""codigo_item"":""25.03"",""fonte_legal"":""Lei Complementar 116/2003""}",
